TS,Sequence,Node,Millis,Sensor,Reading,ReadingUnits,Memo,RSSI,OriginId
2013-11-07 11:52:34,R111,Mote2,136764,BATT-V,5.25,volts,,-82,0
2013-11-07 11:52:35,R114,Mote2,137814,Dallas,22.13,C,,-79,0
2013-11-07 11:52:35,R114,Mote2,137814,Dallas-F,71.834,F,,-79,0
2013-11-07 11:52:41,R4150,Proto1,3240802,BATT-V,3.30,volts,,-76,0
2013-11-07 11:52:42,R119,Mote2,144039,Dallas,22.13,C,,-81,0
2013-11-07 11:52:42,R119,Mote2,144039,Dallas-F,71.834,F,,-81,0
2013-11-07 11:52:42,R4156,Proto1,3247791,Dallas,28.94,C,,-85,0
2013-11-07 11:52:42,R4156,Proto1,3247791,Dallas-F,84.092,F,,-85,0
2013-11-07 11:52:47,R4157,Proto1,3252536,SHT15-Temp,-42.56,C,,-82,0
2013-11-07 11:52:47,R4157,Proto1,3252536,SHT15-Temp-F,-44.608,F,,-82,0
2013-11-07 11:52:49,R124,Mote2,150260,Dallas,22.13,C,,-77,0
2013-11-07 11:52:49,R124,Mote2,150260,Dallas-F,71.834,F,,-77,0
2013-11-07 11:52:53,R4167,Proto1,3259037,SHT15-Temp,-42.56,C,,-77,0
2013-11-07 11:52:53,R4167,Proto1,3259037,SHT15-Temp-F,-44.608,F,,-77,0
2013-11-07 11:52:53,R4170,Proto1,3259279,BATT-V,3.19,volts,,-77,0
2013-11-07 11:52:54,R4171,Proto1,3259324,DUM,3.14,na,,-79,0
2013-11-07 11:52:54,R4173,Proto1,3259535,BMP-Temp,28.26,C,,-81,0
2013-11-07 11:52:54,R4173,Proto1,3259535,BMP-Temp-F,82.868,F,,-81,0
2013-11-07 11:52:54,R126,Mote2,155398,BATT-V,5.22,volts,,-78,0
2013-11-07 11:52:54,R128,Mote2,155609,LUX-LOW,575.00,lux,,-80,0
2013-11-07 11:52:55,R4176,Proto1,3260932,Dallas,28.94,C,,-81,0
2013-11-07 11:52:55,R4176,Proto1,3260932,Dallas-F,84.092,F,,-81,0
2013-11-07 11:53:00,R4177,Proto1,3265679,SHT15-Temp,-42.56,C,,-80,0
2013-11-07 11:53:00,R4177,Proto1,3265679,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:53:00,R4179,Proto1,3265880,Radio-Temp,28.00,C,,-82,0
2013-11-07 11:53:00,R4179,Proto1,3265880,Radio-Temp-F,82.4,F,,-82,0
2013-11-07 11:53:00,R4182,Proto1,3266125,LUX-FLT,125.00,lux,,-80,0
2013-11-07 11:53:00,R4183,Proto1,3266176,BMP-Temp,28.24,C,,-76,0
2013-11-07 11:53:00,R4183,Proto1,3266176,BMP-Temp-F,82.832,F,,-76,0
2013-11-07 11:53:01,R4185,Proto1,3266377,MDWIND,639.00,raw,,-80,0
2013-11-07 11:53:01,R130,Mote2,161568,BATT-R,148.00,raw,,-78,0
2013-11-07 11:53:01,R131,Mote2,161641,BATT-V,5.25,volts,,-77,0
2013-11-07 11:53:01,R133,Mote2,161805,LUX-LOW,559.00,lux,,-81,0
2013-11-07 11:53:01,R4186,Proto1,3267282,Dallas,28.94,C,,-81,0
